,,,,,"B-15  NON-WORKERS BY MAIN ACTIVITY, EDUCATIONAL LEVEL AND SEX",,,,,,,,,,,,,,,,,,,,,,,,
Table,State,District,Area,Total/,Educational,Non-workers,,,Main activity,,,,,,,,,,,,,,,,,,,,
Name,Code,Code,Name,Rural/,level,,,,Students,,,Household duties,,,Dependents,,,Pensioners,,,Rentiers,,,"Beggars, Vagrants etc.",,,Others,,
,,,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0
B0515,24,469,District - Banas Kantha,Urban,Total,285851.0,104944.0,180907.0,107874.0,62711.0,45163.0,95571.0,1523.0,94048.0,70738.0,33687.0,37051.0,3148.0,2394.0,754.0,216.0,110.0,106.0,309.0,234.0,75.0,7995.0,4285.0,3710.0
B0515,24,469,District - Banas Kantha,Urban,Illiterate,104132.0,35399.0,68733.0,11598.0,6299.0,5299.0,31946.0,543.0,31403.0,58405.0,27797.0,30608.0,317.0,57.0,260.0,68.0,12.0,56.0,275.0,206.0,69.0,1523.0,485.0,1038.0
B0515,24,469,District - Banas Kantha,Urban,Literate,181719.0,69545.0,112174.0,96276.0,56412.0,39864.0,63625.0,980.0,62645.0,12333.0,5890.0,6443.0,2831.0,2337.0,494.0,148.0,98.0,50.0,34.0,28.0,6.0,6472.0,3800.0,2672.0
B0515,24,469,District - Banas Kantha,Urban,Literate but below matric/secondary,123327.0,47579.0,75748.0,70281.0,40308.0,29973.0,40223.0,640.0,39583.0,9024.0,4179.0,4845.0,757.0,547.0,210.0,104.0,65.0,39.0,22.0,19.0,3.0,2916.0,1821.0,1095.0
B0515,24,469,District - Banas Kantha,Urban,Matric/secondary but below graduate,41467.0,16096.0,25371.0,20458.0,12686.0,7772.0,16092.0,224.0,15868.0,2055.0,1135.0,920.0,977.0,876.0,101.0,35.0,27.0,8.0,5.0,4.0,1.0,1845.0,1144.0,701.0
B0515,24,469,District - Banas Kantha,Urban,Technical diploma or certificate not equal to degree,1935.0,989.0,946.0,929.0,594.0,335.0,348.0,4.0,344.0,68.0,37.0,31.0,354.0,242.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,112.0,124.0
B0515,24,469,District - Banas Kantha,Urban,Graduate and above other than technical degree,8551.0,2573.0,5978.0,2561.0,1437.0,1124.0,4195.0,57.0,4138.0,381.0,193.0,188.0,487.0,458.0,29.0,4.0,4.0,0.0,0.0,0.0,0.0,923.0,424.0,499.0
B0515,24,469,District - Banas Kantha,Urban,Technical degree or diploma equal to degree or post-graduate degree,2410.0,1354.0,1056.0,1393.0,989.0,404.0,448.0,8.0,440.0,85.0,45.0,40.0,182.0,159.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,301.0,153.0,148.0
B0515,24,470,District - Patan  ,Total,Total,788904.0,311323.0,477581.0,321254.0,184516.0,136738.0,217616.0,4541.0,213075.0,225501.0,108553.0,116948.0,5129.0,3631.0,1498.0,384.0,215.0,169.0,925.0,502.0,423.0,18095.0,9365.0,8730.0
B0515,24,470,District - Patan  ,Total,Illiterate,331475.0,119537.0,211938.0,46205.0,24655.0,21550.0,85161.0,1516.0,83645.0,194283.0,91341.0,102942.0,618.0,135.0,483.0,174.0,73.0,101.0,762.0,403.0,359.0,4272.0,1414.0,2858.0
